Disasters and accidents,2016-01-24,"Heavy snowfall in western and central Japan leaves at least two people dead and over a hundred injured. Snowfall was also recorded for the first time in 155 years on Amami Ōshima, a subtropical island in Japan's southern Kagoshima Prefecture. "
Disasters and accidents,2016-01-25,At least eighty-five people are killed in Taiwan and tens of thousands stranded in airports as an unprecedented cold snap hits several Asian countries including China and South Korea. 
#
Disasters and accidents,2016-06-05,"Firefighters have contained about 80 percent of the 516-acre brush fire in Calabasas, California. Evacuation orders affecting at least 5,000 people in the Los Angeles area are being lifted. The fire started yesterday when a pickup truck struck a power pole. "
Disasters and accidents,2016-06-17,"A wildfire in Santa Barbara County, California doubles in size overnight to 4,000 acres. The Santa Barbara County Sheriff's Office says mandatory evacuations remain in effect for areas such as El Capitán State Beach. The blaze was currently 5% contained, according to Los Padres National Forest officials. "
Disasters and accidents,2016-06-25,"A massive wildfire destroys at least 150 homes and leaves two people dead in Kern County, California. The Governor of California Jerry Brown declares a state of emergency for Kern County as more homes are threatened by the fire. "
#
Arts and culture,2016-04-15,"Human rights abuse victims during the regime of Ferdinand Marcos stake a claim on auction proceeds from Imelda Marcos' art collection, which includes pieces by Michelangelo, Monet, Van Gogh, and Picasso. "
Arts and culture,2016-04-21,"Bongbong Marcos admits that his family is blocking forfeiture of 200 masterpiece paintings sought by the government saying that the works were not subject of a court order case. The artworks, accumulated during the administration of his father, Philippine dictator Ferdinand Marcos are believed to be part of the family's alleged ill-gotten wealth. "
#
Law and crime,2016-02-17,Apple Inc. says it will appeal a court order to create a backdoor for an iPhone 5c belonging to Syed Farook who conducted the 2015 San Bernardino attack. 
Law and crime,2016-02-19,The United States Department of Justice files a motion to compel Apple Inc. to comply with a court order to help the FBI hack a phone used by an attacker in the 2015 San Bernardino attack. 
Law and crime,2016-02-19,"John McAfee, creator of the anti-virus software McAfee, Inc. and former CEO, offers to unlock an iPhone that belonged to San Bernardino attacker Syed Farook for the FBI for free after Apple Inc. refused to comply with a court order asking it to unlock the device. McAfee said ''It will take us three weeks,'' with access to a super-computer in an article published by the Business Insider. "
#
Politics and elections,2016-01-05,"On January 18, 2016, the British Parliament will debate a petition, signed by more than 560,000 people, calling for the Home Secretary to ban United States Republican Party presidential candidate Donald Trump from entering the United Kingdom because of 'hate speech' that is unacceptable behavior, non-conducive to the public good. The conclusion reached by the lawmakers will not be binding on the UK government. "
Politics and elections,2016-01-18,"The British Parliament debates a petition, signed by more than 560,000 people, calling for the Home Secretary to ban, because of 'hate speech,' United States Republican Party presidential candidate Donald Trump from entering the United Kingdom. Almost all of the 50 MPs "
Politics and elections,2016-01-19,"Former Governor of Alaska, vice presidential candidate "
Politics and elections,2016-01-23,Former New York City mayor Michael Bloomberg is seriously considering a possible independent presidential run if Donald Trump or Texas Senator Ted Cruz face Vermont Senator Bernie Sanders in the general election. 
Politics and elections,2016-01-28,"The seventh Republican Party presidential debate, the second hosted by Fox News, and the final debate before voting begins with the Iowa caucuses on February 1, is held in Des Moines, Iowa. The seven candidates featuring in the primetime debate were Jeb Bush, Ben Carson, Chris Christie, Ted Cruz, John Kasich, Rand Paul and Marco Rubio. Donald Trump, the current front-runner in the polls, was also invited to the primetime debate but opted to boycott the debate and instead hosted a town hall with charitable proceeds going to veterans groups. "
Law and crime,2016-01-29,The Government of the United States rules that 22 emails on Hillary Clinton's home server contained closely guarded information rated as ''Top Secret''. 
Politics and elections,2016-02-01,Hillary Clinton narrowly wins the Democratic caucus; this makes her the first woman to win an Iowa caucus. 
Politics and elections,2016-02-02,Martin O'Malley is suspending Presidential Campaign after Iowa Vote. 
Politics and elections,2016-02-03,Former Pennsylvania senator Rick Santorum withdraws from the race. 
Politics and elections,2016-02-05,White supremacists in the U.S. state of New Hampshire create a super PAC to support U.S. presidential candidate Donald Trump's presidential campaign. 
Politics and elections,2016-02-09,New York businessman Donald Trump wins the Republican Party primary while Vermont Senator Bernie Sanders wins the Democratic Party primary. 
Law and crime,2016-02-09,"The Maryland House of Delegates and Senate override Governor Larry Hogan's veto of a bill extending felons' voting rights to those who have not completed the terms of their probation or parole. The law goes into effect March 10, 2016. "
Politics and elections,2016-02-10,New Jersey Governor Chris Christie suspends his campaign for the Republican Party nomination for President of the United States. 
Politics and elections,2016-02-12,Jim Gilmore suspends his campaign for the Republican Party nomination. 
Politics and elections,2016-02-19,"Following the United States Supreme Court's denial of North Carolina's request to use the current district map, the state's legislature meets the deadline for a court-ordered reapportionment of its congressional voting districts. Congressional primaries are rescheduled to June 7, 2016, from March 15. "
Politics and elections,2016-02-20,Voters in the American state of South Carolina go to the polls for the South Carolina primary for the Republican Party with Donald Trump winning and Ted Cruz and Marco Rubio in a close race for second. 
Politics and elections,2016-02-22,Republican candidate Ted Cruz fires campaign spokesman Rick Tyler who posted incorrect information on Twitter about candidate Marco Rubio. 
Politics and elections,2016-02-23,"Republican Party voters, in precinct gatherings, hold the Nevada caucuses with Donald Trump winning, Marco Rubio coming second, and Ted Cruz finishing in third place. "
Politics and elections,2016-02-27,Voters in South Carolina go to the polls for the Democratic Party primary. Hillary Clinton won. 
Politics and elections,2016-02-28,Tulsi Gabbard resigns as vice-chair of the Democratic National Committee and endorses Vermont Senator Bernie Sanders. 
Law and crime,2016-02-29,The United States Department of State releases the final batch of emails recovered from the private server of former Secretary of State and Democratic Party front runner in the race for the nomination for the 2016 presidential election. 
Politics and elections,2016-03-01,"Voters in the U.S. states of Alabama, Alaska, Arkansas, Colorado, Georgia, Massachusetts, Minnesota, Oklahoma, Tennessee, Texas, Vermont, Virginia, and the overseas territory of American Samoa go to the polls to vote on Super Tuesday. "
Politics and elections,2016-03-03,"The eleventh Republican Party presidential debate of the election cycle takes place at the Fox Theatre in downtown Detroit, Michigan, airing live on Fox News Channel. The debate features four Republican candidates, Donald Trump, Ted Cruz, Marco Rubio and John Kasich. Ben Carson was also invited to the debate but he said that he would not be attending. An estimated 16.9 million viewers watched the debate, 5.5 million of them adults aged 25-54, making it the most watched debate since December 2015. "
Politics and elections,2016-03-04,Ben Carson suspends his campaign for the Republican Party nomination. The expected announcement was made during a speech at the 2016 Conservative Political Action Conference 
Politics and elections,2016-03-05,Donald Trump wins the Louisiana primary and Kentucky caucus. 
Politics and elections,2016-03-06,Marco Rubio wins the Puerto Rican Republican Party primary. 
Politics and elections,2016-03-07,Former New York City mayor Michael Bloomberg announces he will not run for president in 2016 because of the impact his candidacy might have on the outcome in November. 
Politics and elections,2016-03-08,Hillary Clinton wins the Mississippi Democratic primary. 
Politics and elections,2016-03-11,"Marco Rubio OK's supporters voting for John Kasich in Ohio since the state's former governor, ''... is the only one who can beat Donald Trump in Ohio.'' "
Politics and elections,2016-03-12,Hillary Clinton wins the Northern Mariana Islands caucus. 
Politics and elections,2016-03-12,"A protestor attempts to storm the stage as Donald Trump was talking at a rally in Dayton, Ohio, causing Secret Service agents to jump on the stage and form a wall around the presidential candidate amid the chaos. The suspect was identified as Thomas Dimassimo, 32, and was charged with disorderly conduct and inducing panic, according to Chief Mike Etter of the Dayton Police Department. Dimassimo is a Black Lives Matter activist. "
Politics and elections,2016-03-15,Marco Rubio suspends his presidential campaign following a disappointing defeat in his home state of Florida. 
Politics and elections,2016-03-16,"In the Missouri Primary, media outlets have held off calling yesterday's races due to the extremely close results. Donald Trump and Hillary Clinton lead in their party's vote, but by just two-tenths of 1 percent ahead of Ted Cruz and Bernie Sanders, respectively. Missouri law states a recount may be requested if the margin is less than half a percentage point. Either Cruz or Sanders or both can request a recount. These results are unofficial, until they’re certified by the Missouri Secretary of State, which reportedly could take up to four weeks. Trump leads by about 1,700 votes and Clinton's edge is about 1,500. The state also needs to count the remaining absentee and provisional ballots; the deadline for overseas ballots is noon Friday. "
Politics and elections,2016-03-16,Senior GOP rules committee member Curly Haugland says that ''We 
Politics and elections,2016-03-16,"Fox News cancels the Republican debate scheduled for Monday in Salt Lake City, Utah. The Utah Republican Party has received more than 50,000 ticket requests. Utah Lieutenant Governor Spencer Cox is upset Trump, ''...is snubbing the state of Utah.'' According to Deseret News, Trump is in fourth place in Utah polls. "
Politics and elections,2016-03-17,The hacker group Anonymous follows through on its threat and releases candidate Donald Trump's personal information 
Politics and elections,2016-03-17,"Bernie Sanders concedes the Missouri primary to Hillary Clinton, who led by 1,531 votes, 0.2 percent of those counted. Sanders says he will not ask for a recount, an option he had because the result is under the state's requirement, 0.5 percent — one-half of one percent. The Republican contest is too close to call as Donald Trump leads Ted Cruz by a similar 0.2 percent. "
Politics and elections,2016-03-18,"The FBI's Joint Terrorism Task Force, United States Secret Service and New York City Police Department are investigating a letter containing a suspicious white powder and a threatening note which was sent to the home of Eric Trump, son of Donald Trump, in New York City. The handwritten note within the letter said: ''If your father does not drop out of the race, the next envelope won't be a fake.'' It was signed ''X''. "
Politics and elections,2016-03-19,"Two dozen protesters park their cars in the middle of Shea Boulevard, and block the main road to the Phoenix suburb of Fountain Hills, Arizona, where Donald Trump's campaign rally with former Arizona Governor Jan Brewer, and controversial sheriff Joe Arpaio was held. For hours, traffic was backed up for miles. The road was eventually cleared. Three protesters were arrested and two cars were towed from the boulevard. "
Politics and elections,2016-03-22,Donald Trump wins the Arizona primary. 
Politics and elections,2016-03-23,Bernie Sanders and Ted Cruz each won their party's votes in Idaho and Utah 
Law and crime,2016-03-24,"In New York, an appeals court upheld a lower court's decision to dismiss a lawsuit trying to keep Ted Cruz off the ballot in the U.S. Presidential contest on the ground of his Canadian birth. "
Politics and elections,2016-03-26,"Senator Bernie Sanders is the projected winner in Alaska, Washington and Hawaii. "
Law and crime,2016-03-28,"The United States Secret Service says only law enforcement officers will be allowed to have guns inside the Republican National Convention to be held in the Cleveland, Ohio, arena on July 18–21, 2016; responding to an online petition demanding Quicken Loans Arena revoke its ban on open carrying of firearms. "
Politics and elections,2016-03-29,"Candidate Donald Trump says he will no longer honor his pledge to support the eventual Republican Party pick for president because, ''I have been treated very unfairly.'' "
Law and crime,2016-03-29,"Corey Lewandowski, campaign manager for U.S. presidential candidate Donald Trump, is charged with battery for allegedly grabbing former Breitbart News journalist Michelle Fields on March 8. "
Politics and elections,2016-03-30,The National Border Patrol Council 
Politics and elections,2016-03-31,"Pennsylvania's Supreme Court upholds the previous court ruling that dismissed the case against Ted Cruz which challenged his eligibility to appear on the state's GOP primary ballot, and serve as president. "
Politics and elections,2016-04-02,"The Republican National Committeeman for North Dakota, Curly Haugland, says that the likelihood for outsiders such as Donald Trump to get state electoral votes are slim as the party honor its own elders. "
Politics and elections,2016-04-05,Voters in the U.S. state of Wisconsin go to the polls for a primary election with Ted Cruz winning the Republican Party contest and Bernie Sanders winning the Democratic Party primary. 
Politics and elections,2016-04-07,"Former New York City mayor Rudy Giuliani endorses Donald Trump for U.S. President, predicting Trump will get more than 50% of the statewide vote. "
Politics and elections,2016-04-08,The Colorado Republican Party continues choosing its delegates to the 2016 Republican National Convention in Cleveland. Ted Cruz has swept all of the delegates available so far. The process which began last Saturday 
Politics and elections,2016-04-09,"Registered Democratic voters in the U.S. state of Wyoming gather, by county, for the Wyoming Democratic caucuses. Bernie Sanders is projected to win. "
Politics and elections,2016-04-12,"Paul Ryan, Speaker of the United States House of Representatives, rules out seeking or accepting the Republican Party nomination in 2016. "
Politics and elections,2016-04-15,"The New York Post, a daily newspaper controlled by media magnate Rupert Murdoch, makes a u-turn and endorses Donald Trump for President of the United States. "
Politics and elections,2016-04-17,"The Los Angeles Times reports that close to 500,000 California voters, who wanted to register as an Independent but checked the American Independent Party box instead, may be ineligible to vote in the state's Democratic and Republican primaries. "
Politics and elections,2016-04-19,Donald Trump wins by a large margin in the Republican Party primary. 
Politics and elections,2016-04-25,"The presidential campaigns of Texas Senator Ted Cruz and Governor of Ohio John Kasich announce they will now coordinate strategies to stop fellow Republican Donald Trump from becoming the party's nominee. Cruz's campaign will cut campaigning in Oregon and New Mexico to help Kasich, while the Kasich campaign will give Cruz a ''clear path'' in Indiana. "
Politics and elections,2016-04-25,"A Maricopa County, Arizona, judge rejects Arizona Attorney General Mark Brnovich's request to throw out a court challenge prompted by major polling problems during the March primary. "
Politics and elections,2016-04-26,"Donald Trump is forecast to win the Republican Party primaries in Pennsylvania, Maryland, Delaware, Rhode Island and Connecticut based on exit polls and results. "
Politics and elections,2016-04-27,Texas Senator Ted Cruz names former Republican presidential candidate Carly Fiorina as his vice-presidential running mate. 
Politics and elections,2016-04-29,Republican front runner Donald Trump says he now has 1001 confirmed delegates for the Cleveland convention in June. 
Politics and elections,2016-05-03,Voters in the U.S. state of Indiana head to the polls to vote in Democratic and Republican presidential primaries. 
Politics and elections,2016-05-04,Ohio Governor John Kasich suspends his campaign. He was the last Republican Party challenger to Donald Trump for the GOP presidential nomination. 
Politics and elections,2016-05-05,Former Governor of Texas and Republican presidential candidate Rick Perry endorses Donald Trump for president and says he is open to being Trump's vice-presidential running mate. 
Politics and elections,2016-05-07,Voters in Guam head to the polls to vote in the Democratic presidential caucus. 
Politics and elections,2016-05-10,Voters in the state of West Virginia head to the polls to vote in the Democratic and Republican presidential primaries. Voters in the state of Nebraska vote in the Republican presidential primary with Donald Trump just 169 delegates short of securing the nomination. 
Politics and elections,2016-05-12,"Maryland state elections officials decertify the results of Baltimore’s April 26, 2016, primary election because, for example, the number of ballots cast was hundreds more than the number of voters who checked in at polling places. "
Politics and elections,2016-05-17,Voters in the American state of Oregon have their mail-in ballots counted for a Democratic Party and Republican Party primary. Donald Trump is the projected winner on the Republican winner while Bernie Sanders is projected to win the Democratic Party race. 
Politics and elections,2016-05-25,"In the United States, Hillary Clinton is criticized by the State Department’s inspector general for her usage of a private email server while she was secretary of state. The finding also concluded though that former secretary of state Colin Powell also had a private email server, as did former ambassador to Kenya Scott Gration. The inspector referred to the email server usage as ''longstanding systemic weaknesses''. "
Politics and elections,2016-05-26,The Associated Press reports that Donald Trump has secured enough delegates to secure the Republican Party nomination for President. 
Politics and elections,2016-05-27,"Republican candidate for U.S. President Donald Trump urges U.S. senator Marco Rubio to run for re-election after Rubio stated he would speak on Trump's behalf at the Republican Convention, if asked. "
Politics and elections,2016-05-28,"Federal District Judge Gonzalo Curiel unseals documents requested by The Washington Post that had been filed with the court in connection with pending civil cases against Trump University, a former business of the Republican Party's presumptive presidential nominee Donald Trump. The judge noted that Trump's candidacy has increased interest in these cases, and that Trump's comments ''... "
Politics and elections,2016-05-29,"Gary Johnson, former Governor of New Mexico, secures the nomination for the Libertarian Party in the U.S. presidential election. Johnson picks former Massachusetts governor, and former Republican, William Weld as his running mate. "
Politics and elections,2016-05-31,Conservative leaders seeking an alternative to the Republican Party's presumptive presidential nominee Donald Trump are urging Tennessee attorney and National Review writer David French to enter the 2016 presidential race as an independent candidate. 
Politics and elections,2016-06-02,U.S. House Speaker Paul Ryan endorses Donald Trump for President of the United States. 
Law and crime,2016-06-02,"Violence breaks out in a rally supporting Donald Trump in San Jose, California. An officer and several demonstrators were assaulted, and a few people were arrested. "
Politics and elections,2016-06-04,"The Democratic Party in the Virgin Islands, which has seven unpledged delegates, holds its caucus with Hillary Clinton. The results, along with those from tomorrow's primary in Puerto Rico, could bring Hillary Clinton close to securing the nomination. "
Politics and elections,2016-06-05,"Amid frustrations with the ongoing economic crisis, Puerto Rican Democrats vote in the Commonwealth's primary with front-runner Hillary Clinton forecast to win following yesterday's sweep in the Virgin Islands' caucus, moving even closer to locking up her party's presidential nomination. There are 60 pledged delegates at stake. "
Politics and elections,2016-06-06,"The Associated Press reports that Hillary Clinton has the support of enough delegates to secure the Democratic Party nomination. Since delegates do not vote until the convention though, she is the presumptive nominee of the party. "
Politics and elections,2016-06-07,"Hillary Clinton wins in California, New Jersey, New Mexico, and South Dakota. Bernie Sanders wins in Montana and North Dakota. "
Politics and elections,2016-06-09,U.S. President Barack Obama endorses Hillary Clinton for President of the United States. 
Politics and elections,2016-06-14,Alleged Russian hackers have penetrated the computer network of the Democratic National Committee 
Politics and elections,2016-06-18,"Apple Inc. notifies the GOP that this year it will not fund or provide other support for the party’s 2016 presidential convention, citing Donald Trump’s controversial comments about women, immigrants and minorities. "
Politics and elections,2016-06-23,"A federal district judge, in a suit brought by the American Civil Liberties Union, rules Cleveland's regulations governing protests and marches during next month's Republican National Convention infringe on the right of free expression. Judge James Gwin orders both sides into mediation to begin negotiating new rules with another federal judge overseeing those talks. "
Politics and elections,2016-06-24,"American conservative columnist George Will tells the Federalist Society that he is no longer a Republican because of Donald Trump, and has officially changed his Maryland voter registration from the GOP to unaffiliated. "
Politics and elections,2016-06-29,"The Cleveland Board of Control approves changes to convention security rules negotiated with the ACLU, per Federal District Judge James Gwin's June 23rd court order. "
Politics and elections,2016-07-05,"The FBI recommends, with numerous reservations about her actions, no charges be filed against Hillary Clinton over her emails. "
Law and crime,2016-07-06,"Loretta Lynch, the Attorney General of the United States, closes the investigation into Hillary Clinton's use of a personal email system to conduct official business without charges being laid. "
Politics and elections,2016-07-07,The United States Department of State reopens an investigation into the possible mishandling of classified information by former Secretary of State and presumptive Democratic Party presidential nominee Hillary Clinton and her top aides. 
Politics and elections,2016-07-09,Green Party presumptive presidential candidate Jill Stein invites Bernie Sanders to take over her place as the party's nominee. 
Politics and elections,2016-07-12,"Vermont Senator Bernie Sanders endorses Democratic Party rival Hillary Clinton for president at a rally in New Hampshire, effectively suspending his presidential campaign. "
Law and crime,2016-07-14,United States Supreme Court Justice Ruth Bader Ginsburg apologizes for remarks she made earlier in the week to a number of news outlets criticizing presumptive Republican presidential nominee Donald Trump. 
Politics and elections,2016-07-15,Donald Trump chooses Indiana governor Mike Pence as his vice presidential running mate. 
Politics and elections,2016-07-18,Opposing protests and rallies in Cleveland on the first day of the convention remain peaceful. 
Politics and elections,2016-07-19,Donald Trump is nominated as the Republican Party candidate for this year's presidential election. 
Politics and elections,2016-07-19,"United States president Barack Obama and his vice president Joe Biden endorse Kamala Harris over Loretta Sanchez, both of whom are Democrats. "
Politics and elections,2016-07-20,"The United States Court of Appeals for the Fifth Circuit affirms previous rulings that Texas' 2011 voter ID law is discriminatory and does not comply with the Voting Rights Act, and orders a lower court to resolve the problem in time for the November elections. "
Politics and elections,2016-07-20,"Senator Ted Cruz, the runner-up in the race for the Republican Party nomination, is booed off stage after giving a speech and refusing to endorse Donald Trump. "
Politics and elections,2016-07-21,Donald Trump accepts the nomination of the Republican Party in the 2016 US Presidential election. 
Politics and elections,2016-07-22,Presumptive Democratic Party presidential nominee Hillary Clinton selects Senator Tim Kaine 
Politics and elections,2016-07-23,Influential UC Berkeley professor Robert Reich calls on the DNC to fire Schultz. 
Politics and elections,2016-07-24,Debbie Wasserman Schultz resigns from her position as Chairperson of the Democratic National Committee. Wasserman Schultz had reportedly been removed from a speaking role after a WikiLeaks email leak proved her implicit support of Hillary Clinton's campaign during the primaries. Her resignation will take effect upon the close of the convention. Donna Brazile will serve as interim chair. 
Politics and elections,2016-07-25,"Headliners include Senator Elizabeth Warren, Democratic presidential candidate Senator Bernie Sanders and First Lady Michelle Obama. "
Politics and elections,2016-07-26,Hillary Clinton is nominated as the Democratic Party candidate for this year's presidential election. She becomes the first woman ever to be nominated for president by a major party in the United States.
Law and crime,2016-07-26,The children's music group USA Freedom Kids plans to sue the campaign of Donald Trump. 
Politics and elections,2016-07-27,Virginia Senator and vice presidential candidate Tim Kaine will speak. 
International relations,2016-07-27,"During a press conference, Republican nominee Donald Trump calls on Russia to find Hillary Clinton's 30,000 missing emails. "
Politics and elections,2016-07-28,"Notable speakers include Governor Mark Dayton of Minnesota, Governor Andrew Cuomo of New York, House Minority Leader Nancy Pelosi, Governor John Hickenlooper of Colorado, Governor Tom Wolf of Pennsylvania, retired General John R. Allen and Chelsea Clinton. "
Politics and elections,2016-07-29,The American Federal Bureau of Investigation is investigating claims that the Hillary Clinton campaign has been hacked as part of recent cyber-attacks on the Democrats. 
Politics and elections,2016-07-31,"Democratic presidential election nominee Hillary Clinton accuses Russian intelligence services of being behind recent hacks into Democratic National Committee computers, while also accusing Republican presidential nominee Donald Trump of supporting Russian President Vladimir Putin. "
Politics and elections,2016-08-02,Three top staffers leave the Democratic National Committee 100 days before elections in early November as a result of the email leak. 
Politics and elections,2016-08-02,"Incumbent Republican congressman Tim Huelskamp, an active Tea Party favorite with a confrontational, anti-establishment approach running for a fourth term, is defeated "
Politics and elections,2016-08-05,"Republican presidential candidate Donald Trump says he plans to ban immigration from Afghanistan, Iraq, Morocco, Pakistan, the Philippines, Somalia, Syria, Uzbekistan and Yemen. "
Politics and elections,2016-08-06,Hawaii U.S. Senator Brian Schatz criticizes Donald Trump for calling the Philippines a 'terrorist' country. 
Politics and elections,2016-08-08,A Filipino lawmaker proposes a bill banning Republican U.S. presidential candidate Donald Trump from entering the Philippines after Trump compared Filipino legal immigrants to terrorists. 
Politics and elections,2016-08-19,Paul Manafort resigns as chairman of Donald Trump's presidential campaign. 
Politics and elections,2016-08-23,Melania Trump plans to sue The Daily Mail and Politico after the publications allege that she worked as an escort. 
Politics and elections,2016-09-04,The Richmond Times-Dispatch of Virginia is first to endorse Libertarian candidate Gary Johnson for president and the first newspaper media endorsement of a third-party nominee in this election cycle. 
Politics and elections,2016-09-05,Libertarian nominee Gary Johnson qualifies in Connecticut giving him ballot access to 48 states. 
Politics and elections,2016-09-11,Hillary Clinton's doctor says she is being treated for pneumonia and dehydration after the Democratic Party presidential candidate fell ill and abruptly left a ceremony in New York City honoring the 15th anniversary of the September 11 attacks. 
Politics and elections,2016-09-16,"The Commission on Presidential Debates officially announces the invitation of Democratic Party nominee Hillary Clinton, and GOP nominee Donald Trump, to the first presidential debate at Hofstra University in Hempstead, New York, on September 26. However, third party candidates, Gary Johnson and Jill Stein, have not met the criteria, and will not be participants in the debate. "
Politics and elections,2016-09-26,"Democratic Party nominee Hillary Clinton and Republican Party nominee Donald Trump hold the first presidential debate of the 2016 presidential election at Hofstra University in Hempstead, New York. "
Politics and elections,2016-10-04,"Democratic Senator Tim Kaine, and the Governor of Indiana Mike Pence hold the first and only vice-presidential debate of the 2016 presidential election at Longwood University in Farmville, Virginia. "
Politics and elections,2016-10-07,WikiLeaks releases over 2000 emails from Hillary Clinton's presidential campaign chairman and former Counselor to the President John Podesta. 
International relations,2016-10-07,The Obama administration formally accuses the Russian government of cyber attacks against the U.S. Democratic Party in influencing presidential election. 
Politics and elections,2016-10-09,"Hillary Clinton and Donald Trump hold the second presidential debate of the 2016 U.S. presidential election at Washington University in St. Louis, Missouri, in a ''town meeting'' format. "
Politics and elections,2016-10-17,"American conservative undercover video producer James O'Keefe releases a series of videos allegedly showing conversations with, among others, Scott Foval, the former national field director of Americans United for Change, speaking about his hiring of people to sabotage rallies for Donald Trump by staging fights in them in a process Foval called ''bird dogging''. "
Politics and elections,2016-10-19,"Hillary Clinton and Donald Trump meet for the third presidential debate of the 2016 U.S. election at the University of Nevada, Las Vegas. "
Disasters and accidents,2016-10-27,United States Republican Party vice presidential candidate Mike Pence's campaign plane skids off the runway at LaGuardia Airport with no injuries reported. The runway is said to have sustained damage causing the closure of the airport; a planned fundraiser was also canceled. 
